lady,lady,1702
lovelace,lovelace,1172
miss,miss,850
mother,mother,764
brother,brother,602
harlowe,harlowe,464
howe,howe,459
sister,sister,408
father,father,399
friend,friend,382
dorcas,dorcas,381
hickman,hickman,358
betty,betty,356
solmes,solmes,348
uncle,uncle,302
lord,lord,285
miss,howe,277
thou,thou,275
sally,sally,265
letter,letter,256
belford,belford,249
fellow,fellow,245
cousin,cousin,242
howe,miss,220
colonel,colonel,216
clarissa,clarissa,212
morden,morden,210
family,family,205
creature,creature,198
widow,widow,192
m,m,186
lovick,lovick,186
captain,captain,185
madam,madam,184
smith,smith,184
people,people,177
aunt,aunt,175
men,men,173
person,person,170
wretch,wretch,167
wife,wife,159
norton,norton,159
gentleman,gentleman,142
servant,servant,138
james,james,133
rawlins,rawlins,133
girl,girl,129
betty,lady,129
heart,heart,127
daughter,daughter,126
lady,betty,126
parent,parent,122
god,god,121
hervey,hervey,120
character,character,109
miss,harlowe,102
antony,antony,99
doctor,doctor,98
moore,moore,95
sinclair,sinclair,92
jack,jack,89
m,lord,88
mind,mind,87
letter,harlowe,87
soul,soul,84
world,world,84
miss,rawlins,83
body,body,82
lord,m,82
grandfather,grandfather,81
sex,sex,80
letter,howe,79
tourville,tourville,79
husband,husband,77
child,child,76
lady,letter,76
devil,devil,74
relation,relation,74
hannah,hannah,74
rawlins,miss,73
sister,brother,72
letter,clarissa,72
house,house,71
john,john,70
james,harlowe,68
thing,thing,67
brother,sister,67
morden,cousin,67
one,one,64
partington,partington,64
colonel,morden,64
morden,colonel,64
mowbray,mowbray,63
harlowe,james,62
lordship,lordship,61
virtue,virtue,60
clarissa,howe,60
harlowe,howe,60
montague,montague,59
rowland,rowland,59
miss,clarissa,57
hand,hand,57
dorcas,lady,56
author,author,56
lovelace,lady,53
mother,father,53
angel,angel,52
love,love,51
niece,niece,51
eye,eye,51
joseph,joseph,51
howe,clarissa,51
harlowe,miss,50
lady,lovelace,49
sister,lovelace,49
howe,harlowe,48
spirit,spirit,48
miss,friend,48
lady,family,47
others,others,46
thou,lady,46
son,son,46
aunt,hervey,45
miss,letter,44
captain,harlowe,44
lady,friend,44
lady,miss,44
art,art,44
head,head,44
polly,polly,44
charlotte,charlotte,44
lovelace,miss,44
hervey,aunt,44
poor,poor,44
tomlinson,tomlinson,43
sorlings,sorlings,43
hickman,miss,43
time,time,42
john,harlowe,42
harlowe,captain,42
villain,villain,42
nothing,nothing,42
lovelace,letter,42
father,mother,42
fortescue,fortescue,42
word,word,41
mother,daughter,41
nobody,nobody,41
martin,martin,40
lady,dorcas,40
belton,belton,40
don,don,40
miss,lovelace,40
apothecary,apothecary,40
miss,partington,40
partington,miss,40
antony,uncle,39
hickman,howe,39
harlowe,john,38
lovelace,family,38
friend,lovelace,38
miss,lady,38
uncle,antony,38
james,captain,37
honour,honour,37
lovelace,friend,37
dr,dr,37
charmer,charmer,36
oh,goody,36
oh,moore,36
howe,friend,36
nephew,nephew,36
clarissa,harlowe,35
maid,maid,35
lady,howe,35
lovelace,thing,35
accuser,accuser,35
norton,poor,35
mistress,mistress,34
libertine,libertine,34
honner,honner,34
will,will,34
messenger,messenger,34
poor,norton,34
howe,letter,33
sarah,sarah,33
niceness,niceness,33
captain,james,32
marriage,marriage,32
power,power,32
town,town,32
harlowe,uncle,32
clary,clary,32
parent,child,32
nurse,nurse,32
lady,thing,31
pride,pride,31
name,name,31
dog,dog,31
uncle,sister,31
bevis,bevis,31
belford,lovelace,31
morn,morn,31
apothecary,rowland,31
instigator,lovelace,31
accuser,lovelace,31
wilt,wilt,30
harlowe,niece,30
goody,goody,30
none,none,30
mother,letter,30
instigator,instigator,30
harlowe,clarissa,29
family,lady,29
lord,lady,29
lady,house,29
lovick,lady,29
niceness,lady,29
instigator,accuser,29
accuser,instigator,29
fretchville,fretchville,29
surgeon,surgeon,28
lovelace,hand,28
uncle,harlowe,28
lovelace,accuser,28
lovelace,brother,27
occasion,occasion,27
miss,mother,27
lovelace,howe,27
lord,lovelace,27
lovelace,character,27
lovelace,instigator,27
brand,brand,26
martin,sally,26
doctor,lady,26
lovelace,belford,26
brother,lovelace,25
case,case,25
goody,moore,25
moore,goody,25
part,part,25
lady,visit,25
