actor,benefactor,self-act,total-act,self-ratio
scholar,scholar,1,56,0.02
collection,collection,1,43,0.02
machine,machine,1,56,0.02
gouty,gouty,2,71,0.03
instrument,instrument,1,33,0.03
presence,presence,1,35,0.03
instant,instant,1,33,0.03
length,length,1,32,0.03
wonder,wonder,2,49,0.04
high,high,1,28,0.04
billet,billet,1,23,0.04
pomfret,pomfret,1,25,0.04
learning,learning,1,28,0.04
narrative,narrative,1,27,0.04
key,key,1,27,0.04
freelivers,freelivers,1,24,0.04
remorse,remorse,5,91,0.05
excuse,excuse,3,59,0.05
shame,shame,2,42,0.05
inexperience,inexperience,2,39,0.05
shakespeare,shakespeare,2,41,0.05
minute,minute,1,19,0.05
good,good,1,22,0.05
hadst,hadst,1,20,0.05
ay,ay,1,22,0.05
shouldst,shouldst,1,19,0.05
solicitude,solicitude,1,19,0.05
leave,leave,1,19,0.05
testament,testament,1,22,0.05
potion,potion,1,19,0.05
diversion,diversion,1,22,0.05
speaker,speaker,1,20,0.05
closet,closet,3,50,0.06
punctilio,punctilio,3,53,0.06
habitation,habitation,2,33,0.06
work,work,2,33,0.06
stair,stair,2,35,0.06
credit,credit,2,36,0.06
object,object,2,33,0.06
bear,bear,2,35,0.06
remembrance,remembrance,2,33,0.06
stone,stone,1,18,0.06
pang,pang,1,16,0.06
misunderstanding,misunderstanding,1,17,0.06
rinaldo,rinaldo,1,16,0.06
interposition,interposition,1,18,0.06
civility,civility,1,16,0.06
politeness,politeness,1,18,0.06
xxii,xxii,1,17,0.06
the,the,6,84,0.07
credulity,credulity,3,44,0.07
arrest,arrest,2,30,0.07
majesty,majesty,1,15,0.07
future,future,1,15,0.07
savage,savage,1,14,0.07
walton,walton,1,14,0.07
gospel,gospel,1,15,0.07
vermin,vermin,1,14,0.07
security,security,1,14,0.07
denial,denial,1,15,0.07
friendship,friendship,6,72,0.08
fear,fear,4,48,0.08
lawrance,lawrance,3,37,0.08
grandmother,grandmother,3,38,0.08
infernal,infernal,2,25,0.08
danger,danger,2,26,0.08
conqueror,conqueror,2,25,0.08
distinction,distinction,2,25,0.08
this,this,1,12,0.08
vii,vii,1,12,0.08
ix,ix,1,12,0.08
xxxix,xxxix,1,12,0.08
governess,governess,1,13,0.08
nuptials,nuptials,1,12,0.08
thursday,thursday,1,12,0.08
notice,notice,1,12,0.08
kin,kin,1,12,0.08
criticism,criticism,1,13,0.08
lecture,lecture,1,12,0.08
eulogy,eulogy,1,13,0.08
perquisite,perquisite,1,12,0.08
miser,miser,1,12,0.08
brixen,brixen,1,13,0.08
pulpit,pulpit,1,13,0.08
xv,xv,1,13,0.08
me,me,1,13,0.08
substance,substance,1,13,0.08
progress,progress,1,13,0.08
indignity,indignity,1,12,0.08
sketch,sketch,1,13,0.08
reader,reader,10,115,0.09
dost,dost,6,65,0.09
b,b,6,70,0.09
tragedy,tragedy,6,68,0.09
error,error,4,47,0.09
innocent,innocent,4,43,0.09
money,money,3,33,0.09
may,may,3,33,0.09
while,while,3,35,0.09
country,country,3,35,0.09
disorder,disorder,2,23,0.09
sign,sign,2,23,0.09
oughtest,oughtest,2,22,0.09
knowest,knowest,2,22,0.09
illness,illness,2,22,0.09
xxi,xxi,2,22,0.09
readiness,readiness,2,23,0.09
xl,xl,1,11,0.09
sportiveness,sportiveness,1,11,0.09
trick,trick,1,11,0.09
abhorrence,abhorrence,1,11,0.09
thorn,thorn,1,11,0.09
venerables,venerables,1,11,0.09
keeper,keeper,1,11,0.09
saint,saint,1,11,0.09
table,table,1,11,0.09
xi,xi,1,11,0.09
godmother,godmother,1,11,0.09
byron,byron,1,11,0.09
herd,herd,1,11,0.09
inducement,inducement,1,11,0.09
juan,juan,1,11,0.09
afternoon,afternoon,1,11,0.09
oh,oh,11,105,0.1
thyself,thyself,11,106,0.1
death,death,9,90,0.1
motif,motif,7,68,0.1
moment,moment,4,40,0.1
secret,secret,3,30,0.1
wickedness,wickedness,3,30,0.1
expectation,expectation,3,30,0.1
liver,liver,3,29,0.1
example,example,3,31,0.1
