actor,benefactor,self-act,total-act,self-ratio
scholar,scholar,1,46,0.02
treaty,treaty,1,45,0.02
self,self,2,62,0.03
forbear,forbear,1,32,0.03
punisher,punisher,1,30,0.03
singleton,singleton,3,68,0.04
closet,closet,2,48,0.04
example,example,2,45,0.04
arrest,arrest,1,25,0.04
prayer,prayer,1,28,0.04
note,note,1,23,0.04
thousand,thousand,1,28,0.04
error,error,4,78,0.05
counsellor,counsellor,2,37,0.05
peace,peace,1,21,0.05
regret,regret,1,20,0.05
uneasiness,uneasiness,1,22,0.05
florence,florence,1,21,0.05
june,june,1,20,0.05
injury,injury,1,22,0.05
complaisance,complaisance,1,19,0.05
habitation,habitation,1,20,0.05
charge,charge,1,19,0.05
asseveration,asseveration,1,19,0.05
innocence,innocence,1,21,0.05
conversation,conversation,7,110,0.06
liver,liver,2,35,0.06
credit,credit,2,33,0.06
connivance,connivance,2,33,0.06
emblem,emblem,2,31,0.06
rogers,rogers,2,33,0.06
while,while,2,31,0.06
college,college,1,17,0.06
imagination,imagination,1,16,0.06
satisfaction,satisfaction,1,18,0.06
intimate,intimate,1,17,0.06
legacy,legacy,1,16,0.06
continuance,continuance,1,16,0.06
fund,fund,1,16,0.06
tormentor,tormentor,1,17,0.06
adversary,adversary,1,18,0.06
cleaver,cleaver,1,16,0.06
campion,campion,1,16,0.06
errand,errand,1,17,0.06
yesterday,yesterday,1,18,0.06
misunderstanding,misunderstanding,1,16,0.06
harlowes,harlowes,7,96,0.07
grandmother,grandmother,3,45,0.07
fear,fear,3,46,0.07
excuse,excuse,2,28,0.07
matter,matter,2,30,0.07
credulity,credulity,2,28,0.07
appointment,appointment,2,30,0.07
submission,submission,1,14,0.07
allegory,allegory,1,15,0.07
distinction,distinction,1,14,0.07
breathing,breathing,1,14,0.07
drawer,drawer,1,14,0.07
course,course,1,14,0.07
judith,judith,1,15,0.07
capital,capital,1,14,0.07
mullins,mullins,1,14,0.07
the,the,7,89,0.08
machine,machine,6,77,0.08
dost,dost,5,63,0.08
purpose,purpose,5,66,0.08
reader,reader,5,64,0.08
tale,tale,4,52,0.08
misfortune,misfortune,3,37,0.08
suffering,suffering,3,38,0.08
fate,fate,2,24,0.08
article,article,2,24,0.08
progress,progress,2,26,0.08
hadst,hadst,2,26,0.08
unawares,unawares,1,13,0.08
minute,minute,1,13,0.08
debt,debt,1,12,0.08
communication,communication,1,12,0.08
rinaldo,rinaldo,1,12,0.08
sketch,sketch,1,13,0.08
brixen,brixen,1,13,0.08
domestic,domestic,1,12,0.08
trunk,trunk,1,13,0.08
compassion,compassion,1,12,0.08
journey,journey,1,12,0.08
star,star,1,12,0.08
draught,draught,1,12,0.08
charm,charm,1,12,0.08
labour,labour,1,12,0.08
remembrance,remembrance,1,13,0.08
passage,passage,1,12,0.08
readiness,readiness,1,13,0.08
thursday,thursday,1,13,0.08
observest,observest,1,12,0.08
alliance,alliance,6,64,0.09
town,town,6,68,0.09
motif,motif,5,54,0.09
present,present,4,45,0.09
instance,instance,3,35,0.09
force,force,3,33,0.09
bravery,bravery,2,23,0.09
obligation,obligation,2,22,0.09
invention,invention,2,23,0.09
lane,lane,1,11,0.09
why,why,1,11,0.09
tradesman,tradesman,1,11,0.09
fancy,fancy,1,11,0.09
barnet,barnet,1,11,0.09
denial,denial,1,11,0.09
methinks,methinks,8,78,0.1
act,act,5,48,0.1
end,end,5,48,0.1
moment,moment,5,50,0.1
deal,deal,5,51,0.1
study,study,4,41,0.1
well,well,4,41,0.1
future,future,2,21,0.1
reasoning,reasoning,2,20,0.1
miser,miser,1,10,0.1
de,de,1,10,0.1
ease,ease,1,10,0.1
cowley,cowley,1,10,0.1
modern,modern,1,10,0.1
herse,herse,1,10,0.1
oftener,oftener,1,10,0.1
rate,rate,1,10,0.1
foe,foe,1,10,0.1
rivalry,rivalry,1,10,0.1
byron,byron,1,10,0.1
herd,herd,1,10,0.1
inclin,inclin,1,10,0.1
affectation,affectation,1,10,0.1
neighbourhood,neighbourhood,1,10,0.1
livery,livery,1,10,0.1
arabella,arabella,10,93,0.11
tragedy,tragedy,10,92,0.11
parson,parson,9,81,0.11
agent,agent,8,70,0.11
half,half,6,53,0.11
liberty,liberty,6,55,0.11
good,good,6,53,0.11
face,face,5,45,0.11
respect,respect,4,38,0.11
business,business,4,36,0.11
mercy,mercy,3,27,0.11
punishment,punishment,3,28,0.11
dish,dish,3,27,0.11
care,care,3,27,0.11
novice,novice,3,28,0.11
hast,hast,2,18,0.11
pang,pang,2,19,0.11
purity,purity,2,19,0.11
warmth,warmth,2,18,0.11
change,change,2,18,0.11
awe,awe,2,19,0.11
report,report,2,19,0.11
williams,williams,2,19,0.11
